ds,Cows,Bulls,Heifers,Beef,Boars,Pork,Lamb,Mutton,Broilers,Poultry
2020/01,227.17,345.36,313.84,310.71,117.31,159.65,359.17,67.6,134.91,138.24
2020/02,236.39,344.47,318.64,313.92,116.08,161.56,372.22,77.44,133.07,137.55
2020/03,244.74,346.36,318.38,320.29,121.18,162.89,369.31,86.23,131.66,136.02
2020/04,257.09,340.63,313.81,317.19,126.09,163.48,364.4,118.46,131.23,134.87
2020/05,254.92,342.3,319.54,317.79,126.88,165.67,379.31,98.25,131.21,134.89
2020/06,255.76,343.24,325.95,320.66,123.01,166.39,407.39,97.25,130.45,134.94
2020/07,253.54,342.52,325.12,318.77,116.33,165.17,418.83,109.97,130.96,134.46
2020/08,252.7,341.3,320.19,316.48,126.63,163.7,402.96,97.7,131,134.93
2020/09,252.92,342.08,316.99,315.13,122.18,160.65,391.44,85.72,130.44,133.49
2020/10,254.64,336.36,313.88,309.83,129.86,159.4,393.77,80.3,129.66,132.65
2020/11,259.4,341.86,316.02,315.22,127.84,156.51,390.22,87.87,129.16,133.73
2020/12,256.96,338.86,318.75,312.21,134.23,156.67,374.2,85.37,129.61,134.67
2021/01,260.85,341.14,310.42,314.88,119.19,153.6,402.79,87.74,129.02,133.29
2021/02,263.09,341.72,315.39,318.8,127.31,153.02,395.76,88.7,129.61,134.23
2021/03,265.63,339.14,315.76,318.27,127.33,152.87,407.74,95.81,129.23,132.97
2021/04,265.97,338.15,316.68,318.87,128.06,154.31,433.25,130.1,129.36,133.73
2021/05,262.34,337.29,317.86,317.53,124.31,153.94,401.04,137.22,130.45,135.07
2021/06,264.93,338.02,318.96,317.81,132.92,153.71,427.35,145.02,131.52,134.34
2021/07,265.12,339.76,323.95,318.62,127.31,153.57,463.74,180.82,131.24,133.94
2021/08,266.61,340.48,323.55,321.19,129.99,155.18,470.06,174.09,131.14,134.94
2021/09,268.88,341.31,321.23,319.41,132.59,155.9,468.92,188.71,131.87,135.38
2021/10,272.06,346.64,325.35,323.3,137.86,155.67,462.03,152.56,132.66,138.33
2021/11,275.15,352.02,331.64,329.67,131.75,157.79,445.06,172.04,135.75,140.16
2021/12,277.43,349.18,331.15,327.36,139.38,161.97,439.2,136.13,136.88,141.23
2022/01,278.69,354.33,326.08,331.68,134.18,167.44,488.44,177.73,140.17,146.05
2022/02,278.9,359.05,336.7,338,144.77,168.24,474.11,159.23,142.87,147.97
2022/03,281.85,373.09,346.99,349.43,138.34,173.04,471.24,193.73,148.73,152.62
2022/04,281.61,391.42,366.99,361.63,143.36,180.54,509.38,146.22,158.97,163.88
2022/05,283.67,415.42,393.7,384.4,160.6,192.88,521.73,160.1,169.7,174.98
2022/06,281.81,427.1,405.23,390.61,157.47,198.34,500.81,211.99,173.38,178.42
2022/07,284.73,439.22,424.64,400.66,170.87,203.55,521.98,252.9,178.94,182.62
2022/08,288.44,445.57,429.41,408.9,173.38,212.2,523,182.73,181.86,184.03
2022/09,287.81,449.47,431.9,401.98,176.31,216.9,570.21,224.61,183.2,195.81
2022/10,295.56,451.12,427.74,406.45,178.84,216.12,573.28,184.04,183.12,189.71
2022/11,295.39,455.4,430.85,410.95,182.03,214.94,545.99,193.92,184.16,190.41
2022/12,295.98,458.67,436.96,416.9,183.25,217.31,543.97,175.96,184.21,191.58
2023/1,292.58,453.91,431.55,412.81,183.9,216.35,580.67,239.42,185.59,190.59
2023/02,297.05,452.93,434.63,401.26,183.5,217.64,549.92,193.61,183.08,188.39
2023/03,292.17,463.47,430.48,425.14,177.16,217.32,558.84,194.27,183.69,189.64
2023/04,294.21,464.51,435.51,427.35,184.65,217.21,576.64,235,183.68,189.42
2023/05,293.16,464.17,440.65,424.1,186.35,215.57,535.16,155.82,184.66,190.04
2023/06,292.92,460.11,437.2,419.74,179.82,215.18,601.87,237.29,184.99,189.62
2023/07,286.18,458.16,438.98,417.95,181.79,214.49,636.52,358.13,185.04,189.12
2023/08,287.55,461.33,449.79,417.61,165.63,213.23,601.83,228.09,185.87,189.63
2023/09,287.42,463.51,444.68,416.24,184.72,214.07,588.08,214.72,184.63,188.32
2023/10,290.77,461.31,433,409.6,187.22,212.84,560.76,185.86,184.17,187.07
2023/11,294.42,462.8,441.49,416.72,172.31,212.66,586.97,185.55,184.9,190.22
2023/12,292.25,464.25,446,420.83,190.04,214.14,557.76,237.85,184.93,190.86
2024/01,288.08,454.59,418.07,408.44,171.64,210.1,581.72,187.43,184.33,190.04
2024/02,283.87,447.47,420.22,404.28,170.78,206.89,574.62,147.57,181.28,187.07
2024/03,282.6,443.04,412.82,400.86,169.55,206.58,583.41,228.63,179.13,183.97
2024/04,277.55,444.62,414.88,402.72,176.47,207.74,585.03,224.66,178.78,183.41
2024/05,274.51,442.38,416.98,404.49,168.05,206.36,571.72,238.21,178.4,182.31
2024/06,272.02,438.95,422.19,401.15,172.46,204.86,612.38,259.86,176.95,181.04
2024/07,267.19,439.43,422.06,400.59,175.16,204.07,614.3,293.87,177.79,181.96
2024/08,267.86,442.65,423.95,399.87,177.49,204,600.6,235,178.13,182.17
2024/09,268.83,439.9,418.72,395.03,171.66,203.9,578.63,183.37,177.62,181.65